Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,id,Geographic Area Name
7816,3037,48.7,51.3,47825,56850,1400000US48021950200,"Census Tract 9502, Bastrop County, Texas"
11889,4595,59,41,64006,75538,1400000US48021950300,"Census Tract 9503, Bastrop County, Texas"
7927,3440,69.2,30.7,52199,66579,1400000US48021950400,"Census Tract 9504, Bastrop County, Texas"
7151,2313,53.6,46.4,49231,54100,1400000US48021950501,"Census Tract 9505.01, Bastrop County, Texas"
5948,2691,65.9,34.1,59271,67702,1400000US48021950502,"Census Tract 9505.02, Bastrop County, Texas"
4375,2269,58.1,41.8,46551,55954,1400000US48021950600,"Census Tract 9506, Bastrop County, Texas"
4511,2096,54.8,45.3,40824,48497,1400000US48021950700,"Census Tract 9507, Bastrop County, Texas"
6152,2121,39.9,60,43988,50678,1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas"
6943,2257,52.2,47.8,51726,73166,1400000US48021950802,"Census Tract 9508.02, Bastrop County, Texas"
3795,2861,61.1,38.8,33459,52239,1400000US48023950300,"Census Tract 9503, Baylor County, Texas"
2194,1176,45.2,54.9,38229,55769,1400000US48025950100,"Census Tract 9501, Bee County, Texas"
6163,461,33.8,66.3,60588,70635,1400000US48025950201,"Census Tract 9502.01, Bee County, Texas"
6023,2858,44.2,55.9,53455,70194,1400000US48025950202,"Census Tract 9502.02, Bee County, Texas"
3782,1733,54.2,45.7,38800,54865,1400000US48025950300,"Census Tract 9503, Bee County, Texas"
1402,735,63.7,36.3,39191,46521,1400000US48025950400,"Census Tract 9504, Bee County, Texas"
10249,2683,27.2,72.8,27686,32017,1400000US48025950500,"Census Tract 9505, Bee County, Texas"
2083,1100,51.8,48.3,39773,52063,1400000US48025950600,"Census Tract 9506, Bee County, Texas"
6869,2471,57.9,42.1,58093,68355,1400000US48027020100,"Census Tract 201, Bell County, Texas"
5278,2073,79,20.9,82670,113731,1400000US48027020201,"Census Tract 202.01, Bell County, Texas"
5420,2440,64.6,35.4,56350,67294,1400000US48027020202,"Census Tract 202.02, Bell County, Texas"
7084,2552,66.5,33.5,69909,77385,1400000US48027020300,"Census Tract 203, Bell County, Texas"
3023,1282,56.7,43.3,41724,46560,1400000US48027020401,"Census Tract 204.01, Bell County, Texas"
2571,992,57.1,42.9,47587,57343,1400000US48027020402,"Census Tract 204.02, Bell County, Texas"
4008,1568,47.3,52.7,50531,59560,1400000US48027020500,"Census Tract 205, Bell County, Texas"
2730,1184,65,35,45625,65386,1400000US48027020600,"Census Tract 206, Bell County, Texas"
